Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
Fun2WMH6310	0.666	0.000522	310.2	0.529	0.286	2.61	5.15	9860.0	307.0	0.487	0.471	1.64	2.36	0.712
Fun2WMH6311	0.365	0.00102	274.0	0.757	0.414	5.22	10.1	9872.0	265.0	0.477	0.243	2.31	3.33	1.00
Fun2WMH6312	0.407	0.000603	278.9	0.668	0.318	3.50	5.99	9923.0	276.0	0.487	0.332	1.79	2.58	0.777
Fun2WMH63ZH01	0.681	0.00069	464.2	0.529	0.316	2.79	6.91	10014.0	456.0	0.604	0.471	1.93	2.79	0.840
Fun2WMH63ZH02	0.476	0.000686	347.4	0.661	0.332	3.54	6.79	9893.0	320.0	0.576	0.339	1.92	2.76	0.832
Fun2WMH63ZH03	0.598	0.00103	425.1	0.633	0.385	3.84	10.2	9904.0	416.0	0.542	0.367	2.32	3.35	1.01
Fun2WMH63ZH04	0.565	0.000845	403.5	0.659	0.359	3.91	8.43	9980.0	380.0	0.648	0.341	2.13	3.08	0.926
Fun2WMH63ZH05	0.418	0.000991	302.4	0.767	0.403	5.43	9.80	9892.0	288.0	0.557	0.233	2.28	3.29	0.991
Fun2WMH63ZH06	0.410	0.000915	288.2	0.737	0.390	4.76	9.06	9907.0	284.0	0.456	0.263	2.20	3.18	0.957
Fun2WMH63ZH07	0.370	0.000652	219.8	0.745	0.350	4.45	6.46	9913.0	206.0	0.585	0.255	1.87	2.69	0.810
Fun2WMH63ZH08	0.478	0.00059	271.9	0.659	0.316	3.44	5.84	9893.0	264.0	0.555	0.341	1.76	2.54	0.766
Fun2WMH63ZH09	0.553	0.000581	251.8	0.638	0.318	3.35	5.76	9908.0	247.0	0.524	0.362	1.75	2.53	0.760
Fun2WMH63ZH10	0.596	0.00095	354.6	0.633	0.383	3.79	9.42	9910.0	350.0	0.530	0.367	2.24	3.24	0.974
Fun2WMH63ZH11	0.530	0.000759	323.5	0.665	0.350	3.77	7.51	9893.0	316.0	0.549	0.335	2.02	2.91	0.876
Fun2WMH63ZH12	0.377	0.000695	256.4	0.712	0.351	4.12	6.90	9926.0	246.0	0.555	0.288	1.93	2.79	0.839
Fun2WMH63ZH13	0.442	0.00108	290.6	0.759	0.421	5.47	10.7	9909.0	280.0	0.541	0.241	2.37	3.43	1.03
Fun2WMH63ZH14	0.445	0.00104	345.3	0.748	0.402	5.13	10.3	9925.0	332.0	0.559	0.252	2.33	3.37	1.01
Fun2WMH63ZH15	0.379	0.000842	291.2	0.742	0.379	4.72	8.35	9919.0	272.0	0.568	0.258	2.12	3.06	0.922
Fun2WWYJ01	0.542	0.00049	305.1	0.606	0.280	2.92	4.89	9977.0	291.0	0.599	0.394	1.59	2.29	0.690
Fun2WWYJ02	0.455	0.00104	260.9	0.735	0.422	4.97	10.3	9926.0	251.0	0.440	0.265	2.33	3.36	1.01
Fun2WWYJ03	0.530	0.000844	391.2	0.668	0.360	3.89	8.43	9985.0	372.0	0.614	0.332	2.13	3.08	0.926
Fun2WWYJ04	0.554	0.000503	294.7	0.601	0.285	2.91	5.01	9956.0	287.0	0.545	0.399	1.61	2.32	0.700
Fun2WWYJ05	0.488	0.000451	279.1	0.607	0.269	2.85	4.50	9967.0	268.0	0.595	0.393	1.50	2.17	0.653
Fun2WWYJ06	0.489	0.000642	298.8	0.679	0.328	3.71	6.39	9943.0	283.0	0.574	0.321	1.85	2.67	0.805
Fun2WWYJ07	0.458	0.000443	226.6	0.609	0.275	2.84	4.39	9917.0	217.0	0.482	0.391	1.48	2.13	0.642
Fun2WWYJ08	0.509	0.000482	233.2	0.619	0.289	2.99	4.78	9920.0	224.0	0.516	0.381	1.56	2.26	0.679
Fun2WWYJ09	0.515	0.000478	244.3	0.608	0.284	2.90	4.74	9914.0	239.0	0.475	0.392	1.56	2.25	0.676
Fun2WWYJ10	0.646	0.000669	343.9	0.569	0.327	3.02	6.67	9970.0	331.0	0.566	0.431	1.90	2.74	0.824
Fun2WWYJ11	0.482	0.000524	221.2	0.646	0.307	3.25	5.20	9930.0	215.0	0.505	0.354	1.65	2.38	0.716
Fun2WWYJ12	0.664	0.000486	312.8	0.527	0.276	2.56	4.84	9949.0	303.0	0.569	0.473	1.58	2.27	0.685
Fun2WWYJ13	0.570	0.00046	304.3	0.582	0.268	2.74	4.59	9978.0	297.0	0.564	0.418	1.52	2.20	0.662
Fun2WWYJ14	0.658	0.000708	391.1	0.554	0.328	2.94	7.04	9954.0	382.0	0.546	0.446	1.95	2.82	0.848
Fun2WWYJ15	0.517	0.000565	326.0	0.634	0.301	3.22	5.63	9970.0	311.0	0.631	0.366	1.73	2.49	0.750
