#OTU ID	TABS1	TABS2	TABS3	TABS4	TABS5	TAD10	TAD1	TAD2	TAD3	TAD4	TAD5	TAD6	TAD7	TAD8	TAD9	TAE0BS1	TAE0BS2	TAE0BS3	TAE0BS4	TAE0BS5	TAE0D1	TAE0D4	TAE0D5	TAE0D7	TAE0D9	TAE0H10	TAE0H6	TAE0H7	TAE0H8	TAE0H9	TAH10	TAH1	TAH2	TAH3	TAH4	TAH5	TAH6	TAH7	TAH8	TAH9
OTU_2227	2	0	0	8	11	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
OTU_191	192	102	423	120	351	6	0	5	5	2	1	0	10	10	0	187	119	512	152	392	0	1	2	16	0	2	1	5	0	0	2	0	0	0	0	0	0	5	0	0
OTU_2497	13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_986	21	6	0	1	0	0	2	0	13	2	0	1	0	0	3	14	25	1	3	4	2	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
OTU_3280	8	0	2	2	8	0	0	0	0	0	0	0	0	0	0	1	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_83	54	14	60	172	29	104	0	20	2250	812	25	18	263	28	0	42	26	70	181	36	6	1297	44	240	0	174	356	10	263	156	142	21	63	174	460	109	470	2	311	92
OTU_163	110	153	202	397	139	0	6	6	58	1	3	0	15	315	1	138	190	190	412	97	1	4	13	12	2	22	0	12	14	9	12	10	13	82	131	1	3	0	22	4
OTU_2926	3	1	2	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2412	11	6	13	8	7	1	0	0	0	0	0	0	0	0	0	7	9	33	7	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_845	18	43	4	0	0	0	0	0	0	0	0	0	1	2	2	16	38	4	0	1	0	1	0	1	0	9	0	0	0	0	2	13	0	1	0	0	0	2	0	0
OTU_526	57	9	11	1	0	0	0	0	0	0	0	0	0	0	0	35	16	7	1	0	0	0	0	0	0	602	204	2	0	0	480	2	0	0	0	4	224	0	0	1
OTU_1313	14	9	11	8	14	0	0	1	0	0	0	0	0	0	1	8	6	1	6	6	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0
OTU_1116	4	1	4	29	12	0	0	0	0	0	0	0	0	0	0	3	6	13	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_5	76	38	85	168	4	16031	658	21825	10820	18254	9805	15112	2143	4458	16704	65	43	52	199	1	1226	27216	10644	2145	21596	292	605	264	5224	708	228	98	561	3622	1080	787	811	245	5886	562
OTU_568	131	11	0	7	0	0	0	0	0	0	0	0	0	2	0	133	6	2	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_254	78	12	140	12	481	0	0	0	4	2	0	2	0	0	2	98	13	110	16	374	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	2	0	0
OTU_344	56	16	58	57	180	0	0	0	0	0	0	0	0	0	1	45	16	86	59	97	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0
OTU_248	94	0	410	8	0	0	0	0	0	0	0	0	0	0	0	121	0	492	11	0	0	0	0	0	0	25	0	0	0	0	35	0	0	0	0	0	0	0	0	0
