bacOTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
bacOTU_346	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenales	Ardenticatenaceae	Ardenticatena	Ardenticatena_maritima
bacOTU_325	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Cryptosporangiaceae	Jatrophihabitans	Jatrophihabitans_endophyticus
bacOTU_344	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Pseudonocardia	Pseudonocardia_hydrocarbonoxydans
bacOTU_332	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Iamiaceae	Iamia	Iamia_majanohamensis
bacOTU_326	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Iamiaceae	Aquihabitans	Aquihabitans_daechungensis
bacOTU_345	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	Bacillus_murimartini
bacOTU_338	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Desulfuromonas	Geobacter_toluenoxydans
bacOTU_352	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Rudaibacter	Rudaibacter_terrae
bacOTU_337	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Conexibacteraceae	Conexibacter	Conexibacter_arvalis
bacOTU_341	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Streptomyces_fildesensis
bacOTU_360	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	Pedomicrobium_manganicum
bacOTU_357	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nakamurellaceae	Nakamurella	Nakamurella_multipartita
bacOTU_355	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Terribacillus	Terribacillus_goriensis
bacOTU_362	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Kineosporiaceae	Pseudokineococcus	Pseudokineococcus_marinus
bacOTU_342	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Actinopolymorpha	Actinopolymorpha_alba
bacOTU_365	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Sulfurisoma	Sulfurisoma_sediminicola
bacOTU_364	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_amygdali
bacOTU_343	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium_hawassense
