TAD2	TAD3	TAD4	TAD6	TAD7	TAD9	TAD10	TAH1	TAH3	TAH4	TAH5	TAH6	TAH8	TAH10	species	ID
bacOTU_133	12.7775032815523	4.4596191055275	6.09547103742579	2.15508721957892	4.82533805941345	2.42235139651011	2.05473365723843	1.45331677724501	1.44208108359226	0.943257926840788	1.23629819239681	2.81144979245941	2.27036609788933	4.09030078897928	bac	bacOTU_133
bacOTU_24	39.1841367300938	4.90557101608025	7.55305976376674	2.15508721957892	8.3918183641973	2.76838731029727	6.79619594317326	3.63314194311253	3.17245838390297	3.67345192559044	4.15583009358928	10.8706525308431	10.678759053035	16.7017532216654	bac	bacOTU_24
bacOTU_30	54.5170206679567	6.24342674773849	5.56543877330181	2.96320742692102	41.3293129436717	4.67158483612665	3.16107485728989	0.924874312792282	6.05642055108749	1.53893661747708	1.05218356799729	2.17421050616861	1.42952680237477	7.95326820079305	bac	bacOTU_30
bacOTU_340	5.53697475533935	1.783907642211	0.662640330154977	1.34696701223683	2.93720142746906	1.29773467670185	4.89961102879933	2.84047824643344	2.59566595046607	1.09217759949986	0.631350140798371	0.374946638994588	2.69078574564662	2.27243377165516	bac	bacOTU_340
bacOTU_39	18.7402914796101	23.189599348743	7.15553556567375	82.4283611488937	5.24492397762332	8.82401580157256	16.7532667436364	0.924874312792282	1.44208108359226	6.10580657902195	0.631350140798371	0.487400630692965	3.27937325250682	0.568183442913789	bac	bacOTU_39
bacOTU_46	2.98149409902888	5.35152292663299	0.927656462216968	14.007516927263	1.04906479552466	1.64377059048901	5.21570851452831	0.462487156396141	2.4034018059871	1.19145738127258	0.578745962398507	1.01218592528539	1e-04	0.227333377165516	bac	bacOTU_46
bacOTU_47	5.53697475533935	2.6758114633165	2.12022905649593	4.04070103671048	4.40575214120358	2.16282446116974	6.95424468603775	0.660653080565915	0.288496216718452	0.347579236204501	0.131610445999661	0.112553991698376	1.09319108416894	0.795416820079305	bac	bacOTU_47
bacOTU_63	22.9994259067942	3.12176337386925	6.49299523551878	1.34696701223683	7.76243948688251	2.07631548272296	2.6869286286964	3.03864417060321	0.673024505676387	0.893618035954431	0.789162675997964	2.58654180906266	1.93403037968351	8.63496833228959	bac	bacOTU_63
bacOTU_67	14.481157052426	2.89878741859287	2.9152774526819	1.07759360978946	5.45471693672825	8.82401580157256	1.58058742864494	0.528542464452732	0.769156577915871	0.446859017977216	1.52562117359606	1.31206323648106	1.1772750137204	1.81796701732412	bac	bacOTU_67
bacOTU_83	4.68514786990252	1e-04	0.530132264123982	0.269473402447365	4.61554510030852	0.605662849127528	0.632294971457978	1.78359331752797	0.192364144478968	0.297939345318144	0.184214624399525	0.29997731119567	0.25235178865437	1.70435032874137	bac	bacOTU_83
bacOTU_89	13.6293301669892	1.783907642211	3.71032584886787	0.808220207342095	4.40575214120358	1.29773467670185	2.52887988583191	1.32120616113183	0.0962320722394839	0.198659563545429	0.157912535199593	0.487400630692965	0.756855365963111	5.1128509862241	bac	bacOTU_89
bacOTU_103	5.11106131262094	0.892003821105499	2.25273712252692	1.34696701223683	12.1680916280861	0.865189784467898	1.42253868578045	3.56708663505594	0.961420722394839	0.347579236204501	0.447235516398846	0.487400630692965	2.60670181609516	3.06775059173446	bac	bacOTU_103
bacOTU_105	9.37019573980505	4.01366719497475	1.98772099046493	15.6237573419472	5.03513101851838	1.38424365514864	1.73863617150944	1.05698492890546	0.576892433436903	0.54613879974993	0.236818802799389	0.862247269687553	0.336435718205827	2.49966714882067	bac	bacOTU_105
bacOTU_135	3.40740754174729	0.669027865829124	1.72270485840294	0.808220207342095	1.46865071373453	0.605662849127528	0.790343714322472	0.792763696679099	0.192364144478968	0.149019672659072	0.184214624399525	0.524885294592423	0.336435718205827	1.24988357441034	bac	bacOTU_135
bacOTU_145	5.53697475533935	1.56093168693462	2.38524518855792	2.42446062202629	3.56658030478385	1.64377059048901	1.42253868578045	0.132210616113183	0.576892433436903	0.843978145068074	0.105308356799729	0.112553991698376	3.36345718205827	4.54476754331031	bac	bacOTU_145
bacOTU_165	17.4625511514549	1e-04	0.132608066030995	1e-04	0.419685918209865	0.17311795689358	0.316197485728989	0.0661553080565915	1e-04	0.54613879974993	0.289422981199253	0.0750693277989176	0.672771436411654	1.02265019724482	bac	bacOTU_165
bacOTU_176	2.55558065631047	0.44605191055275	1.06016452824796	0.269473402447365	1.04906479552466	0.432644892233949	0.790343714322472	0.330376540282958	0.192364144478968	0.0993797817727146	0.105308356799729	0.112553991698376	0.336435718205827	0.454566754331031	bac	bacOTU_176
bacOTU_205	3.8333209844657	20.2909119301501	0.927656462216968	2.42446062202629	6.92326765046278	0.951698762914687	0.474246228593483	0.264321232226366	0.961420722394839	0.744698363295359	0.841766854397828	1.57445588377727	1.51361073192622	0.795416820079305	bac	bacOTU_205
bacOTU_21	47.2764921417437	2.00688359748737	3.71032584886787	0.53884680489473	21.818567746913	2.94140526719085	3.31912360015438	6.2753542653762	2.30726973374761	0.843978145068074	1.97275668999491	3.56114307044859	9.50158403931462	18.292386861824	bac	bacOTU_21
